name,school,image,category
K. Gus Kousoulas (Chair),Louisiana State University School of Veterinary Medicine,kousoulas.jpg,none
Urska Cvek,Louisiana State University Shreveport,cvek.jpg,none
Prescott Deininger,Tulane University,deininger.jpg,none
Sumeet Dua,Louisiana Tech University,dua2.jpg,none
Ann Findley,University of Louisiana at Monroe,findley.jpg,none
Wesley Gray,"Southern University and A&M College, Dept of Chemistry",gray.jpg,none
Dan McCarthy,Southeastern Louisiana University,mccarthy.jpg,none
Stan Napper,Louisiana Tech University,napper.jpg,none
Jacqueline Stephens,Pennington Biomedical Research Center / Louisiana State University,stephens.jpg,none
Michael Stubblefield,Southern University and A&M College,stubblefield.png,none
Connie Walton,Grambling State University,walton.jpg,none
Thomas Wiese,Xavier Louisiana of Louisiana,wiese.jpg,none
Bill Wischusen,Louisiana State University Biological Sciences,NEED,none
Mark Batzer,LSU Biological Sciences,batzer.jpg,Former Steering Committee Members:
Theresa Bailey,Grambling State University,bailey.jpg,none
Gene D'Amour,Xavier Louisiana of Louisiana,damour.jpg,none
Thomas Gettys,Pennington Biomedical Research Center,gettys.jpg,none
Thomas Klei (Former Chair - retired),Louisiana State University School of Veterinary Medicine,klei.jpg,none
Mario Philipp,Tulane National Primate Research Center,NEED,none
Robert Rhoads (retired),LSU Health Sciences Center-Shreveport,rhoads.jpg,none
Paul Sisson,Louisiana State University Shreveport,sisson.jpg,none
Hilary Thompson (retired),LSU Health Sciences Center-New Orleans,thompson.jpg,none
Brygg Ullmer,Louisiana State University Computer Science and Center for Computation and Technology,ullmer.jpg,none
